kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
皈,"[""白"", ""又"", ""反""]","[3428, 578, 583]",白,9,キ,"[""キ"", ""ケ""]",,返す,guī,g,ui,1,none,N1+
皋,"[""白"", ""大"", ""十"", ""夲""]","[3428, 994, 527, 1002]",白,10,コウ,"[""コウ""]",,沢、水際の地,gāo,g,ao,1,none,N1+
皎,"[""白"", ""亠"", ""乂"", ""父"", ""交""]","[3428, 69, 30, 3109, 72]",白,11,キョウ,"[""キョウ"", ""コウ""]",,月光が澄んで明るいさま,jiǎo,j,iao,3,none,N1+
皖,"[""白"", ""宀"", ""元"", ""完""]","[3428, 1151, 304, 1158]",白,12,カン,"[""カン""]",,国の名,wǎn,w,an,3,n,N1+
皓,"[""白"", ""土"", ""口"", ""告""]","[3428, 844, 593, 647]",白,12,コウ,"[""コウ"", ""ゴウ""]",,,hào,h,ao,4,none,N1+
皙,"[""白"", ""木"", ""斤"", ""析""]","[3428, 2240, 2095, 2290]",白,13,セキ,"[""セキ""]",,皮膚の色が白い,xī,x,i,1,none,N1+
皚,"[""白"", ""口"", ""豆"", ""豈""]","[3428, 593, 5100, 5101]",白,15,ガイ,"[""ガイ""]",,霧や霜が白いさま,ái,,ai,2,none,N1+
皰,"[""又"", ""皮"", ""勹"", ""巳""]","[578, 3443, 496, 1365]",皮,10,ホウ,"[""ホウ""]",,にきび,pào,p,ao,4,none,N1+
皴,"[""又"", ""皮"", ""厶"", ""夂""]","[578, 3443, 574, 980]",皮,12,シュン,"[""シュン""]",,,cūn,c,un,1,n,N1+
皸,"[""冖"", ""車"", ""軍"", ""又"", ""皮""]","[349, 5280, 5283, 578, 3443]",皮,14,クン,"[""クン""]",ひび、あかぎれ,寒さで皮膚が破れること,jūn,j,un,1,n,N1+
皹,"[""又"", ""皮"", ""冖"", ""車"", ""軍""]","[578, 3443, 349, 5280, 5283]",皮,14,クン,"[""クン""]",ひび、あかぎれ,寒さで皮膚が破れること,jūn,j,un,1,n,N1+
皺,"[""勹"", ""屮"", ""芻"", ""又"", ""皮""]","[496, 1269, 4411, 578, 3443]",皮,15,シュウ,"[""シュウ""]",しわ,,zhòu,zh,ou,4,none,N1+
盂,"[""于"", ""皿""]","[58, 3450]",皿,8,ウ,"[""ウ""]",,鉢（はち）、皿,yú,y,u,2,none,N1+
盍,"[""土"", ""厶"", ""去"", ""皿""]","[844, 574, 575, 3450]",皿,10,コウ,"[""コウ""]",,,hé,h,e,2,none,N1+
盖,"[""皿""]",[3450],皿,11,ガイ,"[""ガイ""]",ふた、おお・う、けだ・し,,gài,g,ai,4,none,N1+
盒,"[""口"", ""合"", ""皿""]","[593, 615, 3450]",皿,11,コウ,"[""コウ""]",,蓋のある小さな容器,hé,h,e,2,none,N1+
盞,"[""戈"", ""戔"", ""皿""]","[1781, 1790, 3450]",皿,13,サン,"[""サン""]",,杯,zhǎn,zh,an,3,n,N1+
盡,"[""皿""]",[3450],皿,14,ジン,"[""ジン""]",つ・くす,すべて出し切る,jǐn,j,in,3,n,N1+
